Date,Median House Price,Median Sales Price
2/3/2014,400780.79,359101.73
9/3/2014,382637.4,373089.34
16/3/2014,393631.15,392159.58
23/3/2014,414878.51,377300.91
30/3/2014,411593.52,406786.76
6/4/2014,371236.02,416024.45
13/4/2014,402461.56,361399.63
20/4/2014,388254.91,412008.13
27/4/2014,391292.02,367557.19
4/5/2014,401314.32,409277.64
11/5/2014,399631.04,423732.12
18/5/2014,421599.52,408435.81
25/5/2014,413516.03,390371.53
1/6/2014,406240.62,402889.31
8/6/2014,413388.49,409850
15/6/2014,414050.69,413144.92
22/6/2014,433771.8,414939.04
29/6/2014,410598.28,418438.16
6/7/2014,420686.71,425392.51
13/7/2014,405494.29,406165.61
20/7/2014,382325.92,422767.82
27/7/2014,432740.09,451275.94
3/8/2014,438217.39,424836.25
10/8/2014,416433.41,426052.3
17/8/2014,463927.24,450986.7
24/8/2014,410380.47,398529.88
31/8/2014,435197.38,456742.23
7/9/2014,434018.28,431646.9
14/9/2014,462132.76,445688.3
21/9/2014,463496.49,446778.09
28/9/2014,446095.36,461574.2
5/10/2014,451758.63,445527.16
12/10/2014,435084.44,441474.6
19/10/2014,421004.32,473216.58
26/10/2014,447812.62,420390.2
2/11/2014,457691.58,458261.72
9/11/2014,476115.74,439841.73
16/11/2014,478012.12,450740.92
23/11/2014,456481.56,494437.28
30/11/2014,460071.96,465703.4
7/12/2014,451193.24,471402.28
14/12/2014,447936.3,443856.7
21/12/2014,445957.56,461748.38
28/12/2014,503128.28,477736.32
4/1/2015,468536.91,482213.23
11/1/2015,471925.61,488249.07
18/1/2015,462019.84,481229.09
25/1/2015,494789.16,491108.64
1/2/2015,461233.37,492114.21
8/2/2015,484565.78,459965.29
15/2/2015,476639.92,490070.38
22/2/2015,498190.5,503137.74
1/3/2015,487039.92,502571.31
8/3/2015,479307.55,490369.13
15/3/2015,498909.34,485846.52
22/3/2015,508072.09,483260.15
29/3/2015,504959.91,500172.92
5/4/2015,510814.27,521238.84
12/4/2015,499077.4,477069.48
19/4/2015,505466.15,498552.08
26/4/2015,503135.4,493457.32
3/5/2015,510144.04,524432.63
10/5/2015,505655.19,506447.52
17/5/2015,494273.18,509806.51
24/5/2015,525143.85,515715.74
31/5/2015,518770.78,527754.79
7/6/2015,502659.56,517291.96
14/6/2015,536369.31,479589.55
21/6/2015,518133.13,535535.28
28/6/2015,534836.83,536075.15
5/7/2015,547309.05,528300.3
12/7/2015,540622.47,517436.77
19/7/2015,558093.77,541077.93
26/7/2015,524795.41,543593.67
2/8/2015,551667.97,532958.55
9/8/2015,537675.73,538861.97
16/8/2015,537200.96,530264.5
23/8/2015,543895.21,543641.92
30/8/2015,550219.71,525168.22
6/9/2015,558050.51,556788.35
13/9/2015,542045.82,538466.95
20/9/2015,575350.51,558307.93
27/9/2015,571138.08,535750.84
4/10/2015,543424.53,550093.33
11/10/2015,591107.01,559390.76
18/10/2015,599536.6,538241.51
25/10/2015,591094.99,566983.13
1/11/2015,573029.47,561672.6
8/11/2015,561982.09,543328.38
15/11/2015,596175.19,552018.99
22/11/2015,576625.8,582748.34
29/11/2015,603325.17,589208.78
6/12/2015,590427.66,575900.72
13/12/2015,604268.16,586054.68
20/12/2015,597279.1,585444.81
27/12/2015,604847.24,589135.41
3/1/2016,596721.19,605584.73
10/1/2016,625666.78,565793.9
17/1/2016,603097.44,600649.69
24/1/2016,609538.64,586876.55
31/1/2016,634071.1,591346.71
7/2/2016,587922.49,592280.76
14/2/2016,591396.64,593291.2
21/2/2016,627309.9,582629.37
28/2/2016,597487.14,605876.31
6/3/2016,646553.35,630294.27
13/3/2016,613509.78,606492.04
20/3/2016,610817.29,609417.16
27/3/2016,653188.28,601232.36
3/4/2016,648866.91,611883.63
10/4/2016,656987.61,622742.15
17/4/2016,644879.93,612299.92
24/4/2016,620685.91,613150.41
1/5/2016,664570.31,628110.34
8/5/2016,634214.33,610395.21
15/5/2016,652586.26,630056.63
22/5/2016,657073.23,640677.92
29/5/2016,642854.34,650876.22
5/6/2016,656705.72,631225.17
12/6/2016,663642.67,655198.77
19/6/2016,657770.99,652304.86
26/6/2016,637948.63,623949.43
3/7/2016,661228.26,622727.45
10/7/2016,678965.51,638525.98
17/7/2016,650966.24,660638.37
24/7/2016,661455.28,646223.94
31/7/2016,659487.53,640402.29
7/8/2016,696068.83,674799.7
14/8/2016,680729.33,657923.53
21/8/2016,679071.88,620914.95
28/8/2016,663726.25,662585.18
4/9/2016,685678.77,667732.29
11/9/2016,669790.08,665419.72
18/9/2016,682697.56,670885.17
25/9/2016,674997.45,665234.26
2/10/2016,696996.68,648571.37
9/10/2016,697814.08,664890.65
16/10/2016,688355.78,658370.88
23/10/2016,699735.4,660667.91
30/10/2016,679714.41,657816.9
6/11/2016,676056.51,685654.17
13/11/2016,707331.29,682439.18
20/11/2016,705555.55,676352.16
27/11/2016,714895.96,675438.48
4/12/2016,743432.7,686931.11
11/12/2016,724167.76,705574.28
18/12/2016,698623.27,661427.03
25/12/2016,731385.89,699247.32
1/1/2017,697207.07,687512.4
8/1/2017,712336.95,669533.2
15/1/2017,720552.13,670720.35
22/1/2017,749590.94,688318.05
29/1/2017,715034.51,707406.35
5/2/2017,716124.3,712113.55
12/2/2017,729359.12,694236.79
19/2/2017,723198.78,725680.74
26/2/2017,752365.53,733874.08
5/3/2017,721582.05,720574.53
12/3/2017,722884.04,707866.1
19/3/2017,735843.8,735707.33
26/3/2017,737255.66,732275.89
2/4/2017,775984.16,736059.97
9/4/2017,763597.53,715305.81
16/4/2017,752984.53,684738.35
23/4/2017,735604.76,761112.44
30/4/2017,768966.78,707301.31
7/5/2017,743613.14,733031.87
14/5/2017,737759.84,771383.47
21/5/2017,781066.9,742734.85
28/5/2017,770315.63,754118.8
4/6/2017,781689.41,719448.06
11/6/2017,774972.48,717422.91
18/6/2017,785359.06,738201.28
25/6/2017,765056.26,764656.98
2/7/2017,761623.04,745205.89
9/7/2017,789675.64,740584
16/7/2017,769715.61,757576.96
23/7/2017,773738.55,772940.38
30/7/2017,779563.85,737141.16
6/8/2017,788974.06,742761.02
13/8/2017,785717,751193.03
20/8/2017,772717.68,781546.55
27/8/2017,786002.71,770753.21
3/9/2017,764620.98,801317.09
10/9/2017,809665.54,785485.38
17/9/2017,778571.24,773016.17
24/9/2017,788351.39,794622.67
1/10/2017,808014.65,780922.87
8/10/2017,798453.77,769280.5
15/10/2017,835007.47,792157.85
22/10/2017,794784.44,773617.23
29/10/2017,820498.1,781810.08
5/11/2017,818218.13,808186.68
12/11/2017,803601.01,788854.63
19/11/2017,831286.6,780430.63
26/11/2017,823179.29,787616.59
3/12/2017,839644.38,812012.43
10/12/2017,842735.12,790501.36
17/12/2017,865146.14,795090.32
24/12/2017,855060.56,795342.89
31/12/2017,831789.95,807860.07
7/1/2018,836052.03,801422.75
14/1/2018,858452.65,785281.46
21/1/2018,854101.75,798105.19
28/1/2018,856189.8,799524.98
4/2/2018,824648.53,834270.51
11/2/2018,850853.02,829914.74
18/2/2018,842462.48,828637.42
25/2/2018,860046.85,814352.06
4/3/2018,856690.77,811799.47
11/3/2018,874130.75,818527.49
18/3/2018,867551.37,812465.95
25/3/2018,876903.06,867806.07
1/4/2018,860426.89,798772.14
8/4/2018,855571.52,843016
15/4/2018,865902.51,817391.49
22/4/2018,874112.99,837198.53
29/4/2018,882370.61,826047.56
6/5/2018,912888,825307.06
13/5/2018,880679.55,827972.46
20/5/2018,869289.27,873504.1
27/5/2018,880753.76,847288.39
3/6/2018,881304.58,839901.59
10/6/2018,897795.78,861827.83
17/6/2018,869776.64,855750.17
24/6/2018,896152.57,868499.35
1/7/2018,899866.27,832438.89
8/7/2018,903316.43,866460.71
15/7/2018,893189.01,875600.98
22/7/2018,900894.96,841190.49
29/7/2018,885417.92,874941.3
5/8/2018,901694.07,895765
12/8/2018,903265.98,872203.31
19/8/2018,919964.7,886851.18
26/8/2018,898696.25,886692.55
2/9/2018,930071.99,868125.31
9/9/2018,943086.33,881438.31
16/9/2018,891934.32,859440.79
23/9/2018,931693.02,878280.07
30/9/2018,937767.8,891138.84
7/10/2018,920367.66,900103.94
14/10/2018,926285.17,891730.52
21/10/2018,932566.08,904265
28/10/2018,932407.47,879025.55
4/11/2018,934554.17,896147.59
11/11/2018,916364.35,900066.15
18/11/2018,961104.42,929624.73
25/11/2018,962328.76,900772.27
2/12/2018,936249.06,898603.43
9/12/2018,928768.19,908512.85
16/12/2018,960895.57,896509.79
23/12/2018,946757.82,915291.7
30/12/2018,959838.97,909028.47
6/1/2019,955234.79,889738.29
13/1/2019,972712.83,917833.31
20/1/2019,975076.03,916052.87
27/1/2019,956085.87,898433.57
3/2/2019,948534.41,924016.82
10/2/2019,947855.83,949468.07
17/2/2019,983070.63,937051.2
24/2/2019,958397.09,940514.45
3/3/2019,970942.77,913317
10/3/2019,971915.35,942696.83
17/3/2019,982386.59,939874.01
24/3/2019,956445.94,947686.85
31/3/2019,990636.85,948194.51
7/4/2019,997978.58,923562.27
14/4/2019,993761.58,945441.88
21/4/2019,990087,936798.73
28/4/2019,998526.33,949519.44
5/5/2019,1005366.06,938913.59
12/5/2019,960106.51,974165.57
19/5/2019,1033349.13,943697.83
26/5/2019,1012176.88,945202.19
2/6/2019,998854.39,961909.03
9/6/2019,1005091.26,946737.65
16/6/2019,1020676.72,958628.09
23/6/2019,1013844.07,954652.48
30/6/2019,987440.4,990373.44
7/7/2019,1051183.1,983096.82
14/7/2019,1020872.64,972551.62
21/7/2019,1040148.38,969649.32
28/7/2019,1016780.08,991735.24
4/8/2019,1052521.52,985803.45
11/8/2019,1036086.06,989300.08
18/8/2019,1043238.6,983540.31
25/8/2019,1020742.18,960713.65
1/9/2019,1056903.2,986454.02
8/9/2019,1051398.33,982257.56
15/9/2019,1062893.79,1002024.65
22/9/2019,1036259.82,1009630.36
29/9/2019,1040780.76,986687.37
6/10/2019,1084869.96,1005686.32
13/10/2019,1036726.01,1026802.63
20/10/2019,1052902.04,992852.66
27/10/2019,1074309.69,1030201.08
3/11/2019,1061037.24,994287.37
10/11/2019,1070630.71,1009524.46
17/11/2019,1058209.7,1011116.79
24/11/2019,1072067.32,1013560.36
1/12/2019,1049233.61,1002926.61
8/12/2019,1096018.51,1008727.94
15/12/2019,1071689.13,1009683.79
22/12/2019,1065573.96,1026707.94
29/12/2019,1088087.42,1028857.94
5/1/2020,1073495.91,1059400.48
12/1/2020,1062707.87,1048680.06
19/1/2020,1064836.02,1022571.48
26/1/2020,1097758.42,1037196.08
2/2/2020,1087273.26,1049383.71
9/2/2020,1089976.38,1036989.87
16/2/2020,1110463.1,1037590.13
23/2/2020,1079709.59,1041512.28
1/3/2020,1087966.85,1055851.71
8/3/2020,1095468.86,1032221.66
15/3/2020,1104972.37,1042165.33
22/3/2020,1105239.56,1056210.78
29/3/2020,1103883.86,1055929.89
5/4/2020,1109577.81,1056955.83
12/4/2020,1111207.67,1049918.98
19/4/2020,1104338.22,1072157.94
26/4/2020,1105252.43,1091681.83
3/5/2020,1123880.11,1067873.95
10/5/2020,1108713.67,1060983.97
17/5/2020,1107032.11,1077321.63
24/5/2020,1122023.09,1060002.44
31/5/2020,1126657.51,1058947.98
7/6/2020,1165188.41,1072789.38
14/6/2020,1123082.09,1035659.2
21/6/2020,1150116.54,1059195.8
28/6/2020,1149490.49,1073389.54
5/7/2020,1122763.53,1060412.04
12/7/2020,1154511.54,1067327.13
19/7/2020,1127469.57,1078369.46
26/7/2020,1107655.24,1062380.11
2/8/2020,1158952.65,1083037.42
9/8/2020,1125834.54,1083203.35
16/8/2020,1161251.95,1093717.38
23/8/2020,1146542.81,1112752.97
30/8/2020,1184011.28,1100131.68
6/9/2020,1177460.69,1099963.95
13/9/2020,1156947.3,1103243.75
20/9/2020,1155745.56,1107266.73
27/9/2020,1150167.01,1090708.66
4/10/2020,1164079.37,1106342.02
11/10/2020,1168802.91,1114798.82
18/10/2020,1169852.88,1091710.06
25/10/2020,1179988.88,1127360.16
1/11/2020,1188631.18,1132699.91
8/11/2020,1187513.21,1109112.54
15/11/2020,1173121.28,1117067.02
22/11/2020,1165331.6,1109618.13
29/11/2020,1209681.49,1135385.6
6/12/2020,1181186.81,1111080.47
13/12/2020,1184059.19,1125765.55
20/12/2020,1188340.79,1118322.81
27/12/2020,1170827.62,1134074.83
3/1/2021,1193619.09,1108500.99
10/1/2021,1195908.91,1157415.25
17/1/2021,1214724.16,1125153.14
24/1/2021,1218210.68,1142624.56
31/1/2021,1210105.42,1140642.2
7/2/2021,1226341.62,1134502.24
14/2/2021,1219778.41,1134721.16
21/2/2021,1216758.74,1164187.74
28/2/2021,1221722.93,1144361.06
7/3/2021,1218764.25,1158417.13
14/3/2021,1218016.35,1144431.03
21/3/2021,1222238.12,1148849.67
28/3/2021,1211649,1167745
4/4/2021,1235090.83,1176721.33
11/4/2021,1218302.39,1162239.36
18/4/2021,1248138.75,1145644.22
25/4/2021,1234087.44,1199046.26
2/5/2021,1240886.78,1158332.59
9/5/2021,1249866.95,1150160.92
16/5/2021,1254424.15,1214305.01
23/5/2021,1223530.12,1171432.06
30/5/2021,1246300.96,1157670.46
6/6/2021,1264922.23,1171448.76
13/6/2021,1228563,1189317.43
20/6/2021,1262158.83,1188762.84
27/6/2021,1224831.2,1175236.13
4/7/2021,1245642.1,1217456.83
11/7/2021,1263874.2,1184396.19
18/7/2021,1240759.05,1176553.49
25/7/2021,1253142.16,1210838.1
1/8/2021,1248162.33,1218467.55
8/8/2021,1297276.92,1188373.11
15/8/2021,1277333.35,1181719.21
22/8/2021,1285694.33,1220299.89
29/8/2021,1276159.88,1176237.37
5/9/2021,1276513.57,1190651.81
12/9/2021,1259882.97,1225666.73
19/9/2021,1282067.56,1212428.66
26/9/2021,1277337.78,1211403.79
3/10/2021,1303944.06,1222759.01
10/10/2021,1310506.77,1217279.05
17/10/2021,1317703.96,1202194.27
24/10/2021,1310808.6,1242919.6
31/10/2021,1291355.55,1245757.59
7/11/2021,1285911.94,1231066.27
14/11/2021,1316465.38,1230767.2
21/11/2021,1312624.86,1267288.47
28/11/2021,1283067.43,1230151.51
5/12/2021,1317242.77,1232508.26
12/12/2021,1326443.38,1243973.03
19/12/2021,1317424.51,1262679.55
26/12/2021,1316079.86,1266605.19
2/1/2022,1309055.97,1240938.94
9/1/2022,1301787.72,1251546.41
16/1/2022,1337805.25,1228354.09
23/1/2022,1323479.1,1246449.61
30/1/2022,1326928.85,1240628.8
6/2/2022,1358736.71,1240234.59
13/2/2022,1345328.45,1282664.62
20/2/2022,1342938.34,1247660.58
27/2/2022,1341821.93,1253674.69
6/3/2022,1364805.97,1269240.42
13/3/2022,1370114.92,1285323.97
20/3/2022,1360578.7,1275177.23
27/3/2022,1357684.53,1311454.73
3/4/2022,1319847.15,1271048.29
10/4/2022,1355437.07,1278152.96
17/4/2022,1353944.67,1280510.13
24/4/2022,1359620.61,1300005.77
1/5/2022,1374672.04,1288192.52
8/5/2022,1321746.23,1280944.4
15/5/2022,1356616.75,1270579.42
22/5/2022,1371520.03,1290562.3
29/5/2022,1362783.82,1310019.73
5/6/2022,1350847.95,1284947.74
12/6/2022,1387451.04,1301141.52
19/6/2022,1380884.7,1299003.49
26/6/2022,1364480.09,1310367.98
3/7/2022,1386083.96,1287447.78
10/7/2022,1396000.52,1336822.7
