DATE,CPI
1/3/2014,102.3
2/3/2014,102.3
3/3/2014,102.3
4/3/2014,102.3
5/3/2014,102.3
6/3/2014,102.3
7/3/2014,102.3
8/3/2014,102.3
9/3/2014,102.3
10/3/2014,102.4
11/3/2014,102.4
12/3/2014,102.4
13/3/2014,102.4
14/3/2014,102.4
15/3/2014,102.4
16/3/2014,102.4
17/3/2014,102.4
18/3/2014,102.4
19/3/2014,102.4
20/3/2014,102.4
21/3/2014,102.4
22/3/2014,102.4
23/3/2014,102.4
24/3/2014,102.4
25/3/2014,102.4
26/3/2014,102.4
27/3/2014,102.5
28/3/2014,102.5
29/3/2014,102.5
30/3/2014,102.5
31/3/2014,102.5
1/4/2014,102.5
2/4/2014,102.5
3/4/2014,102.5
4/4/2014,102.5
5/4/2014,102.5
6/4/2014,102.5
7/4/2014,102.5
8/4/2014,102.5
9/4/2014,102.5
10/4/2014,102.5
11/4/2014,102.5
12/4/2014,102.5
13/4/2014,102.5
14/4/2014,102.6
15/4/2014,102.6
16/4/2014,102.6
17/4/2014,102.6
18/4/2014,102.6
19/4/2014,102.6
20/4/2014,102.6
21/4/2014,102.6
22/4/2014,102.6
23/4/2014,102.6
24/4/2014,102.6
25/4/2014,102.6
26/4/2014,102.6
27/4/2014,102.6
28/4/2014,102.6
29/4/2014,102.6
30/4/2014,102.6
1/5/2014,102.7
2/5/2014,102.7
3/5/2014,102.7
4/5/2014,102.7
5/5/2014,102.7
6/5/2014,102.7
7/5/2014,102.7
8/5/2014,102.7
9/5/2014,102.7
10/5/2014,102.7
11/5/2014,102.7
12/5/2014,102.7
13/5/2014,102.7
14/5/2014,102.7
15/5/2014,102.7
16/5/2014,102.7
17/5/2014,102.7
18/5/2014,102.8
19/5/2014,102.8
20/5/2014,102.8
21/5/2014,102.8
22/5/2014,102.8
23/5/2014,102.8
24/5/2014,102.8
25/5/2014,102.8
26/5/2014,102.8
27/5/2014,102.8
28/5/2014,102.8
29/5/2014,102.8
30/5/2014,102.8
31/5/2014,102.8
1/6/2014,102.8
2/6/2014,102.8
3/6/2014,102.8
4/6/2014,102.9
5/6/2014,102.9
6/6/2014,102.9
7/6/2014,102.9
8/6/2014,102.9
9/6/2014,102.9
10/6/2014,102.9
11/6/2014,102.9
12/6/2014,102.9
13/6/2014,102.9
