Date,Median Sales Price,Median House Price
2014-03-01,284320.0,274320.0
2014-03-08,286620.0,276620.0
2014-03-15,288920.0,278920.0
2014-03-22,291220.0,281220.0
2014-03-29,293520.0,283520.0
2014-04-05,295820.0,285820.0
2014-04-12,298120.0,288120.0
2014-04-19,300420.0,290420.0
2014-04-26,302720.0,292720.0
2014-05-03,305020.0,295020.0
2014-05-10,307320.0,297320.0
2014-05-17,309620.0,299620.0
2014-05-24,311920.0,301920.0
2014-05-31,314220.0,304220.0
2014-06-07,316520.0,306520.0
2014-06-14,318820.0,308820.0
2014-06-21,321120.0,311120.0
2014-06-28,323420.0,313420.0
2014-07-05,325720.0,315720.0
2014-07-12,328020.0,318020.0
2014-07-19,330320.0,320320.0
2014-07-26,332620.0,322620.0
2014-08-02,334920.0,324920.0
2014-08-09,337220.0,327220.0
2014-08-16,339520.0,329520.0
2014-08-23,341820.0,331820.0
2014-08-30,344120.0,334120.0
2014-09-06,346420.0,336420.0
2014-09-13,348720.0,338720.0
2014-09-20,351020.0,341020.0
2014-09-27,353320.0,343320.0
2014-10-04,355620.0,345620.0
2014-10-11,357920.0,347920.0
2014-10-18,360220.0,350220.0
2014-10-25,362520.0,352520.0
2014-11-01,364820.0,354820.0
2014-11-08,367120.0,357120.0
2014-11-15,369420.0,359420.0
2014-11-22,371720.0,361720.0
2014-11-29,374020.0,364020.0
2014-12-06,376320.0,366320.0
2014-12-13,378620.0,368620.0
2014-12-20,380920.0,370920.0
2014-12-27,383220.0,373220.0
2015-01-03,385520.0,375520.0
2015-01-10,387820.0,377820.0
2015-01-17,390120.0,380120.0
2015-01-24,392420.0,382420.0
2015-01-31,394720.0,384720.0
2015-02-07,397020.0,387020.0
2015-02-14,399320.0,389320.0
2015-02-21,401620.0,391620.0
2015-02-28,403920.0,393920.0
2015-03-07,406220.0,396220.0
2015-03-14,408520.0,398520.0
2015-03-21,410820.0,400820.0
2015-03-28,413120.0,403120.0
2015-04-04,415420.0,405420.0
2015-04-11,417720.0,407720.0
2015-04-18,420020.0,410020.0
2015-04-25,422320.0,412320.0
2015-05-02,424620.0,414620.0
2015-05-09,426920.0,416920.0
2015-05-16,429220.0,419220.0
2015-05-23,431520.0,421520.0
2015-05-30,433820.0,423820.0
2015-06-06,436120.0,426120.0
2015-06-13,438420.0,428420.0
2015-06-20,440720.0,430720.0
2015-06-27,443020.0,433020.0
2015-07-04,445320.0,435320.0
2015-07-11,447620.0,437620.0
2015-07-18,449920.0,439920.0
2015-07-25,452220.0,442220.0
2015-08-01,454520.0,444520.0
2015-08-08,456820.0,446820.0
2015-08-15,459120.0,449120.0
2015-08-22,461420.0,451420.0
2015-08-29,463720.0,453720.0
2015-09-05,466020.0,456020.0
2015-09-12,468320.0,458320.0
2015-09-19,470620.0,460620.0
2015-09-26,472920.0,462920.0
2015-10-03,475220.0,465220.0
2015-10-10,477520.0,467520.0
2015-10-17,479820.0,469820.0
2015-10-24,482120.0,472120.0
2015-10-31,484420.0,474420.0
2015-11-07,486720.0,476720.0
2015-11-14,489020.0,479020.0
2015-11-21,491320.0,481320.0
2015-11-28,493620.0,483620.0
2015-12-05,495920.0,485920.0
2015-12-12,498220.0,488220.0
2015-12-19,500520.0,490520.0
2015-12-26,502820.0,492820.0
2016-01-02,505120.0,495120.0
2016-01-09,507420.0,497420.0
2016-01-16,509720.0,499720.0
2016-01-23,512020.0,502020.0
2016-01-30,514320.0,504320.0
2016-02-06,516620.0,506620.0
2016-02-13,518920.0,508920.0
2016-02-20,521220.0,511220.0
2016-02-27,523520.0,513520.0
2016-03-05,525820.0,515820.0
2016-03-12,528120.0,518120.0
2016-03-19,530420.0,520420.0
2016-03-26,532720.0,522720.0
2016-04-02,535020.0,525020.0
2016-04-09,537320.0,527320.0
2016-04-16,539620.0,529620.0
2016-04-23,541920.0,531920.0
2016-04-30,544220.0,534220.0
2016-05-07,546520.0,536520.0
2016-05-14,548820.0,538820.0
2016-05-21,551120.0,541120.0
2016-05-28,553420.0,543420.0
2016-06-04,555720.0,545720.0
2016-06-11,558020.0,548020.0
2016-06-18,560320.0,550320.0
2016-06-25,562620.0,552620.0
2016-07-02,564920.0,554920.0
2016-07-09,567220.0,557220.0
2016-07-16,569520.0,559520.0
2016-07-23,571820.0,561820.0
2016-07-30,574120.0,564120.0
2016-08-06,576420.0,566420.0
2016-08-13,578720.0,568720.0
2016-08-20,581020.0,571020.0
2016-08-27,583320.0,573320.0
2016-09-03,585620.0,575620.0
2016-09-10,587920.0,577920.0
2016-09-17,590220.0,580220.0
2016-09-24,592520.0,582520.0
2016-10-01,594820.0,584820.0
2016-10-08,597120.0,587120.0
2016-10-15,599420.0,589420.0
2016-10-22,601720.0,591720.0
2016-10-29,604020.0,594020.0
2016-11-05,606320.0,596320.0
2016-11-12,608620.0,598620.0
2016-11-19,610920.0,600920.0
2016-11-26,613220.0,603220.0
2016-12-03,615520.0,605520.0
